,x,y,z,global,local
0,-0.561794,0.474117,-0.681615,46,0
1,-0.556284,0.59517,-0.61624,46,1
2,-0.58906,0.347963,-0.732755,46,2
3,-0.650877,0.186093,-0.777189,46,3
4,-0.619879,0.460243,-0.643751,46,4
5,-0.741881,0.431101,-0.564219,46,5
6,-0.507712,0.417818,-0.756741,46,6
7,-0.430327,0.425796,-0.813239,46,7
8,-0.517709,0.529321,-0.684622,46,8
9,-0.416014,0.656665,-0.691558,46,9
10,-0.584443,0.288459,-0.770674,46,10
11,-0.579935,0.230354,-0.807702,46,11
12,-0.677143,0.45251,-0.602996,46,12
13,-0.692337,0.450458,-0.592183,46,13
14,-0.449362,0.438959,-0.790629,46,14
15,-0.390157,0.460411,-0.825014,46,15
16,-0.518441,0.59034,-0.648898,46,16
17,-0.519449,0.674451,-0.599654,46,17
18,-0.716262,0.484624,-0.553616,46,18
19,-0.729946,0.495859,-0.536341,46,19
20,-0.769799,0.441952,-0.535928,46,20
21,-0.802378,0.415986,-0.525165,46,21
22,-0.543288,0.637298,-0.602234,46,22
23,-0.550361,0.650666,-0.58895,46,23
24,-0.647345,0.331186,-0.696404,46,24
25,-0.671459,0.324244,-0.681365,46,25
26,-0.471521,0.642799,-0.655724,46,26
27,-0.454048,0.662334,-0.658265,46,27
28,-0.53739,0.268278,-0.819446,46,28
29,-0.509965,0.256516,-0.847872,46,29
30,-0.402476,0.491454,-0.797408,46,30
31,-0.375852,0.521262,-0.801257,46,31
32,-0.71721,0.394278,-0.604906,46,32
33,-0.73014,0.375486,-0.605523,46,33
34,-0.369602,0.452051,-0.846057,46,34
35,-0.332864,0.408016,-0.900425,46,35
36,-0.481101,0.271316,-0.862135,46,36
37,-0.467627,0.272043,-0.872353,46,37
38,-0.775549,0.372672,-0.571294,46,38
39,-0.780128,0.370977,-0.568656,46,39
40,-0.599746,0.524629,-0.622559,46,40
41,-0.594429,0.541634,-0.616962,46,41
42,-0.616758,0.226402,-0.780907,46,42
43,-0.670539,0.123122,-0.797938,46,43
44,-0.325904,0.426356,-0.895355,46,44
45,-0.325199,0.425941,-0.896151,46,45
46,-0.468548,0.513086,-0.732785,46,46
47,-0.464747,0.511831,-0.736509,46,47
48,-0.672827,0.224261,-0.737876,46,48
49,-0.680407,0.223972,-0.732058,46,49
50,-0.586358,0.184478,-0.829056,46,50
51,-0.578253,0.173301,-0.841892,46,51
52,-0.663775,0.166821,-0.778108,46,52
53,-0.663446,0.164733,-0.77957,46,53
54,-0.66165,0.52488,-0.573543,46,54
55,-0.658949,0.526871,-0.574529,46,55
0,0.344891,0.655691,0.675366,41,0
1,0.342553,0.652563,0.680252,41,1
2,0.289378,0.69743,0.662094,41,2
3,0.173225,0.784764,0.634324,41,3
4,0.365662,0.604708,0.719742,41,4
5,0.388242,0.549284,0.767984,41,5
6,0.225419,0.727131,0.667295,41,6
7,0.173285,0.751339,0.671535,41,7
8,0.436356,0.678207,0.595508,41,8
9,0.597649,0.646347,0.53443,41,9
10,0.486676,0.693563,0.548263,41,10
11,0.566333,0.717873,0.473477,41,11
12,0.375574,0.736915,0.566481,41,12
13,0.379098,0.774982,0.521951,41,13
14,0.546834,0.65674,0.553277,41,14
15,0.6423,0.598303,0.561233,41,15
16,0.373735,0.78467,0.514365,41,16
17,0.371562,0.841133,0.452747,41,17
18,0.341714,0.567863,0.775141,41,18
19,0.31237,0.522715,0.843023,41,19
20,0.329943,0.524905,0.830059,41,20
21,0.322438,0.497517,0.865073,41,21
22,0.431976,0.789136,0.474515,41,22
23,0.43626,0.789464,0.471584,41,23
24,0.188399,0.699147,0.720647,41,24
25,0.164587,0.681147,0.754963,41,25
26,0.163018,0.760389,0.667599,41,26
27,0.138033,0.773705,0.66772,41,27
28,0.186175,0.797687,0.612168,41,28
29,0.197278,0.81557,0.585592,41,29
30,0.537594,0.612733,0.607848,41,30
31,0.529827,0.575741,0.653722,41,31
32,0.478464,0.808648,0.424935,41,32
33,0.491158,0.813976,0.411397,41,33
34,0.353465,0.835623,0.469723,41,34
35,0.339859,0.869823,0.439759,41,35
36,0.203416,0.838125,0.556783,41,36
37,0.209657,0.852763,0.536733,41,37
38,0.598285,0.576655,0.611711,41,38
39,0.639028,0.552435,0.614305,41,39
40,0.243108,0.656754,0.735129,41,40
41,0.248553,0.652535,0.73657,41,41
42,0.567101,0.544377,0.666353,41,42
43,0.553777,0.530586,0.6897,41,43
44,0.483615,0.601916,0.652225,41,44
45,0.475277,0.600245,0.65908,41,45
46,0.265802,0.55408,0.835956,41,46
47,0.255881,0.558592,0.836868,41,47
48,0.418141,0.560709,0.737349,41,48
49,0.454351,0.530351,0.749498,41,49
50,0.612227,0.633065,0.540502,41,50
51,0.624399,0.628658,0.538125,41,51
52,0.664297,0.5888,0.55865,41,52
53,0.66722,0.586316,0.559669,41,53
54,0.489019,0.748774,0.485336,41,54
55,0.490145,0.747977,0.48555,41,55
0,0.58011,0.623143,-0.529307,34,0
1,0.552759,0.638694,-0.545715,34,1
2,0.65344,0.622964,-0.435812,34,2
3,0.662571,0.637906,-0.406327,34,3
4,0.704008,0.573922,-0.429668,34,4
5,0.748711,0.53057,-0.424237,34,5
6,0.578572,0.578691,-0.584276,34,6
7,0.574198,0.4523,-0.740574,34,7
8,0.671949,0.654071,-0.375068,34,8
9,0.688904,0.682567,-0.319423,34,9
10,0.546175,0.680109,-0.504746,34,10
11,0.491625,0.77168,-0.465265,34,11
12,0.500219,0.73361,-0.499678,34,12
13,0.424641,0.821596,-0.491345,34,13
14,0.69581,0.679935,-0.313736,34,14
15,0.707914,0.693053,-0.282626,34,15
16,0.452496,0.785775,-0.498462,34,16
17,0.422926,0.818098,-0.497708,34,17
18,0.524066,0.609718,-0.616933,34,18
19,0.498113,0.624491,-0.632482,34,19
20,0.48943,0.666656,-0.593301,34,20
21,0.485141,0.673707,-0.590374,34,21
22,0.748316,0.519449,-0.438002,34,22
23,0.802389,0.452968,-0.448173,34,23
24,0.521985,0.565622,-0.672171,34,24
25,0.519234,0.507316,-0.745211,34,25
26,0.66613,0.736761,-0.283905,34,26
27,0.657422,0.753433,-0.275153,34,27
28,0.763273,0.466335,-0.48222,34,28
29,0.776524,0.419283,-0.521393,34,29
30,0.802405,0.478941,-0.417183,34,30
31,0.807862,0.474854,-0.415082,34,31
32,0.727918,0.453933,-0.542189,34,32
33,0.673828,0.43496,-0.633934,34,33
34,0.795448,0.409364,-0.509036,34,34
35,0.819738,0.366355,-0.52928,34,35
36,0.508095,0.530417,-0.7319,34,36
37,0.503288,0.518234,-0.752569,34,37
38,0.561048,0.485875,-0.717343,34,38
39,0.625696,0.431496,-0.699571,34,39
40,0.849613,0.36926,-0.487639,34,40
41,0.859578,0.361882,-0.483703,34,41
42,0.684107,0.508658,-0.532921,34,42
43,0.676016,0.518764,-0.53121,34,43
44,0.515375,0.767729,-0.439627,34,44
45,0.527247,0.794456,-0.392587,34,45
46,0.462961,0.643558,-0.654668,34,46
47,0.459794,0.640795,-0.662009,34,47
48,0.793892,0.52918,-0.368157,34,48
49,0.793177,0.533401,-0.364038,34,49
50,0.739858,0.625328,-0.322561,34,50
