,experiment,num,entropy
0,reference_sphere___off_center_disconnected,-1,-0.20602367395759041
1,reference_sphere___off_center_disconnected,0,-0.20710395630370826
2,reference_sphere___off_center_disconnected,1,-0.19563262953891575
3,reference_sphere___off_center_disconnected,10,-0.1891328734638123
4,reference_sphere___off_center_disconnected,11,-0.19582665401036664
5,reference_sphere___off_center_disconnected,12,-0.19273480452382988
6,reference_sphere___off_center_disconnected,13,-0.17755781383080413
7,reference_sphere___off_center_disconnected,14,-0.18122033754897318
8,reference_sphere___off_center_disconnected,15,-0.19664630522212806
9,reference_sphere___off_center_disconnected,16,-0.1968546187806805
10,reference_sphere___off_center_disconnected,17,-0.19690502990285996
11,reference_sphere___off_center_disconnected,18,-0.1825789986423531
12,reference_sphere___off_center_disconnected,19,-0.19960458174773427
13,reference_sphere___off_center_disconnected,2,-0.19055693857458764
14,reference_sphere___off_center_disconnected,20,-0.1979620980008833
15,reference_sphere___off_center_disconnected,21,-0.19003250946706776
16,reference_sphere___off_center_disconnected,22,-0.1908953624363502
17,reference_sphere___off_center_disconnected,23,-0.18653528634157204
18,reference_sphere___off_center_disconnected,24,-0.18822018901659138
19,reference_sphere___off_center_disconnected,25,-0.18072799317100458
20,reference_sphere___off_center_disconnected,26,-0.19959792451118447
21,reference_sphere___off_center_disconnected,27,-0.19164866032478606
22,reference_sphere___off_center_disconnected,28,-0.18757751261380676
23,reference_sphere___off_center_disconnected,29,-0.18811013027324874
24,reference_sphere___off_center_disconnected,3,-0.19872024847668085
25,reference_sphere___off_center_disconnected,30,-0.18198596789380095
26,reference_sphere___off_center_disconnected,31,-0.1870017015306942
27,reference_sphere___off_center_disconnected,32,-0.1994706568319326
28,reference_sphere___off_center_disconnected,33,-0.19158968343658975
29,reference_sphere___off_center_disconnected,34,-0.18502490039725863
30,reference_sphere___off_center_disconnected,35,-0.1964815778522182
31,reference_sphere___off_center_disconnected,36,-0.2049404721786554
32,reference_sphere___off_center_disconnected,37,-0.18746321796494325
33,reference_sphere___off_center_disconnected,38,-0.19044026997151897
34,reference_sphere___off_center_disconnected,39,-0.19602697994294643
35,reference_sphere___off_center_disconnected,4,-0.19480690941805373
36,reference_sphere___off_center_disconnected,40,-0.18708230903935127
37,reference_sphere___off_center_disconnected,41,-0.19751664154644405
38,reference_sphere___off_center_disconnected,42,-0.19598360169279866
39,reference_sphere___off_center_disconnected,43,-0.18901041874058933
40,reference_sphere___off_center_disconnected,44,-0.19391190379396434
41,reference_sphere___off_center_disconnected,45,-0.19698145082487337
42,reference_sphere___off_center_disconnected,46,-0.18110347985596612
43,reference_sphere___off_center_disconnected,47,-0.20908995723285698
44,reference_sphere___off_center_disconnected,48,-0.19445611761493486
45,reference_sphere___off_center_disconnected,49,-0.18770275367211975
46,reference_sphere___off_center_disconnected,5,-0.19228932672766208
47,reference_sphere___off_center_disconnected,50,-0.1996313605684135
48,reference_sphere___off_center_disconnected,51,-0.20308682806434583
49,reference_sphere___off_center_disconnected,52,-0.1935421904741037
50,reference_sphere___off_center_disconnected,53,-0.18415565122748212
51,reference_sphere___off_center_disconnected,54,-0.18658420455787458
52,reference_sphere___off_center_disconnected,55,-0.18484634469297304
53,reference_sphere___off_center_disconnected,56,-0.19262139465472064
54,reference_sphere___off_center_disconnected,57,-0.19067826349200281
55,reference_sphere___off_center_disconnected,58,-0.19459026382881056
56,reference_sphere___off_center_disconnected,59,-0.19259585264453663
57,reference_sphere___off_center_disconnected,6,-0.19083849907192074
58,reference_sphere___off_center_disconnected,60,-0.19508800585906827
59,reference_sphere___off_center_disconnected,61,-0.19961174105916957
60,reference_sphere___off_center_disconnected,62,-0.18823989368967645
61,reference_sphere___off_center_disconnected,63,-0.19983103789850984
62,reference_sphere___off_center_disconnected,64,-0.19029711429856602
63,reference_sphere___off_center_disconnected,65,-0.1961234358870775
64,reference_sphere___off_center_disconnected,66,-0.18568264935677603
65,reference_sphere___off_center_disconnected,67,-0.1756710518210698
66,reference_sphere___off_center_disconnected,68,-0.19776190104099295
67,reference_sphere___off_center_disconnected,69,-0.18560087068511485
68,reference_sphere___off_center_disconnected,7,-0.19341128771072819
69,reference_sphere___off_center_disconnected,70,-0.18937922446390476
70,reference_sphere___off_center_disconnected,71,-0.18121364159726622
71,reference_sphere___off_center_disconnected,72,-0.19347929651497264
72,reference_sphere___off_center_disconnected,73,-0.1841943036069261
73,reference_sphere___off_center_disconnected,74,-0.18715891119368191
74,reference_sphere___off_center_disconnected,75,-0.18211425166382555
75,reference_sphere___off_center_disconnected,76,-0.19698323506702664
76,reference_sphere___off_center_disconnected,77,-0.1917068347556633
77,reference_sphere___off_center_disconnected,78,-0.1957154659569427
